movie_id,movie_name,release,box_office,avg_price,avg_people,movie_score,movie_category,country,movie_link
1244901,许愿神龙,2021-01-15,16823,35.02875,5,9.0,"动画,喜剧,奇幻","美国,中国大陆",https://piaofang.maoyan.com/movie/1244901
1226046,人之怒,2021-05-10,16634,33.967457,7,8.6,动作,"美国,英国",https://piaofang.maoyan.com/movie/1226046
1337941,雄狮少年,2021-12-17,16494,38.683407,5,9.4,"动画,喜剧",中国大陆,https://piaofang.maoyan.com/movie/1337941
1371295,燃野少年的天空,2021-07-17,16103,36.4637,6,8.8,"青春,歌舞,喜剧",中国大陆,https://piaofang.maoyan.com/movie/1371295
644174,黑白魔女库伊拉,2021-06-06,15473,36.49263,7,9.1,"喜剧,犯罪",美国,https://piaofang.maoyan.com/movie/644174
1360088,关于我妈的一切,2021-09-19,15008,33.674023,5,9.3,剧情,中国大陆,https://piaofang.maoyan.com/movie/1360088
1250676,了不起的老爸,2021-06-18,14874,36.234303,5,8.9,"剧情,喜剧,运动,家庭",中国大陆,https://piaofang.maoyan.com/movie/1250676
1277950,反贪风暴5：最终章,2021-12-31,14757,40.853455,30,8.4,"犯罪,动作","中国大陆,中国香港",https://piaofang.maoyan.com/movie/1277950
1302235,超越,2021-06-12,14284,34.71596,5,8.2,"剧情,喜剧",中国大陆,https://piaofang.maoyan.com/movie/1302235
1363244,铁道英雄,2021-11-19,14238,37.807835,4,9.0,"战争,剧情,动作",中国大陆,https://piaofang.maoyan.com/movie/1363244
1319075,守岛人,2021-06-18,13798,39.358566,6,9.4,剧情,中国大陆,https://piaofang.maoyan.com/movie/1319075
1378057,革命者,2021-07-01,13692,36.6856,5,9.4,"剧情,历史",中国大陆,https://piaofang.maoyan.com/movie/1378057
1278598,你好世界,2021-06-11,13652,31.370966,5,8.8,"爱情,奇幻,动画",日本,https://piaofang.maoyan.com/movie/1278598
894008,寻龙传说,2021-03-05,12755,37.47356,5,8.9,动画,美国,https://piaofang.maoyan.com/movie/894008
1263235,明日之战,2021-09-03,12390,33.996246,4,8.6,"动作,科幻,冒险",美国,https://piaofang.maoyan.com/movie/1263235
1414385,爱情神话,2021-12-24,12119,39.09714,6,8.6,"爱情,剧情",中国大陆,https://piaofang.maoyan.com/movie/1414385
345006,西游记之再世妖王,2021-04-03,11455,33.217056,6,8.4,"动画,奇幻,动作",中国大陆,https://piaofang.maoyan.com/movie/345006
1228771,梅艳芳,2021-11-12,11334,33.51103,5,9.2,"剧情,传记,音乐",中国香港,https://piaofang.maoyan.com/movie/1228771
1322799,缉魂,2021-01-15,11110,36.216537,5,8.0,"犯罪,悬疑,科幻",中国大陆,https://piaofang.maoyan.com/movie/1322799
1225754,猫和老鼠,2021-02-26,10474,34.431866,7,8.0,"喜剧,动画,冒险",美国,https://piaofang.maoyan.com/movie/1225754
1198179,阳光姐妹淘,2021-06-11,9497,36.08188,5,8.8,"喜剧,剧情,青春",中国大陆,https://piaofang.maoyan.com/movie/1198179
1303100,新大头儿子和小头爸爸4完美爸爸,2021-07-09,9329,35.960175,5,8.7,动画,中国大陆,https://piaofang.maoyan.com/movie/1303100
1244856,陪你很久很久,2021-09-09,9257,31.693558,5,5.9,"爱情,喜剧,剧情",中国台湾,https://piaofang.maoyan.com/movie/1244856
1342846,夏日友晴天,2021-08-20,8875,36.058746,4,9.0,"动画,冒险,喜剧",美国,https://piaofang.maoyan.com/movie/1342846
1298349,贝肯熊2：金牌特工,2021-07-23,8149,34.682964,5,8.7,"动画,喜剧,冒险",中国大陆,https://piaofang.maoyan.com/movie/1298349
1383416,猪猪侠大电影·恐龙日记,2021-05-01,7932,31.416384,9,8.5,"儿童,动画",中国大陆,https://piaofang.maoyan.com/movie/1383416
1427538,以年为单位的恋爱,2021-12-31,7837,39.49626,33,8.8,"剧情,爱情",中国大陆,https://piaofang.maoyan.com/movie/1427538
1229308,第十一回,2021-04-02,7397,38.40554,4,7.9,"剧情,喜剧,家庭",中国大陆,https://piaofang.maoyan.com/movie/1229308
1449681,跨过鸭绿江,2021-12-17,7285,35.88589,10,9.4,"剧情,历史,战争",中国大陆,https://piaofang.maoyan.com/movie/1449681
1250950,俑之城,2021-07-09,6993,35.54419,5,8.7,"奇幻,冒险,动画",中国大陆,https://piaofang.maoyan.com/movie/1250950
248836,八月未央,2021-04-16,6796,32.032627,4,7.0,"爱情,剧情,青春",中国大陆,https://piaofang.maoyan.com/movie/248836
1310437,不速来客,2021-10-22,6733,37.346455,5,8.6,"悬疑,喜剧",中国大陆,https://piaofang.maoyan.com/movie/1310437
30932,入殓师,2021-10-29,6623,32.48417,5,8.6,剧情,日本,https://piaofang.maoyan.com/movie/30932
1319,情书,1999-03-01,6519,33.896515,7,8.9,"剧情,爱情",日本,https://piaofang.maoyan.com/movie/1319
1208123,第一炉香,2021-10-22,6422,37.96514,5,7.3,爱情,中国大陆,https://piaofang.maoyan.com/movie/1208123
1213261,热带往事,2021-06-12,6410,38.32138,4,7.4,"剧情,犯罪,悬疑",中国大陆,https://piaofang.maoyan.com/movie/1213261
1328693,五个扑水的少年,2021-10-01,6269,37.33105,6,9.4,"剧情,喜剧,青春",中国大陆,https://piaofang.maoyan.com/movie/1328693
569718,我的青春有个你,2021-09-19,6221,36.11979,3,8.2,"青春,爱情",中国大陆,https://piaofang.maoyan.com/movie/569718
1220,指环王：护戒使者,2002-04-04,6080,38.068882,5,9.1,"剧情,动作,奇幻,冒险","新西兰,美国",https://piaofang.maoyan.com/movie/1220
1298314,皮皮鲁与鲁西西之罐头小人,2021-09-30,5784,38.194775,7,9.2,"奇幻,喜剧,儿童",中国大陆,https://piaofang.maoyan.com/movie/1298314
1302992,大耳朵图图之霸王龙在行动,2021-10-01,5405,34.25689,8,8.4,"动画,喜剧,冒险",中国大陆,https://piaofang.maoyan.com/movie/1302992
